timestamp_utc,bucket_12s,wavelength,filepath,filesize_bytes,hash_md5,exptime,naxis1,naxis2
2017-09-06T12:03:30.620,12_03_24,131,raw\aia.lev1.131A_2017_09_06T12_03_30.62Z.image_lev1.fits,8942400,5298bd58ef586dd4ea4c813303c078e6,2.900796,4096,4096
2017-09-06T12:03:33.350,12_03_24,171,raw\aia.lev1.171A_2017_09_06T12_03_33.35Z.image_lev1.fits,11672640,d03adb19727e58bc896318aee528da94,2.000157,4096,4096
2017-09-06T12:03:38.610,12_03_36,335,raw\aia.lev1.335A_2017_09_06T12_03_38.61Z.image_lev1.fits,7070400,2c42fe3deaa4bb2e22752780e7044347,1.443168,4096,4096
2017-09-06T12:03:43.530,12_03_36,193,raw\aia.lev1.193A_2017_09_06T12_03_43.53Z.image_lev1.fits,7001280,69c9a42d6b4dadf0744494bcdd76d04e,0.004902,4096,4096
2017-09-06T12:03:45.350,12_03_36,171,raw\aia.lev1.171A_2017_09_06T12_03_45.35Z.image_lev1.fits,11669760,7e3c467fd04b76a29ab3b0b9e82b2458,2.000169,4096,4096
2017-09-06T12:03:46.380,12_03_36,131,raw\aia.lev1.131A_2017_09_06T12_03_46.38Z.image_lev1.fits,6903360,4e59af337d21f245d61500d3d1df87ed,0.009735,4096,4096
2017-09-06T12:03:48.620,12_03_48,335,raw\aia.lev1.335A_2017_09_06T12_03_48.62Z.image_lev1.fits,7220160,a0f2a8a63c125bc747c8997f3f13f0e6,2.899741,4096,4096
2017-09-06T12:03:49.510,12_03_48,211,raw\aia.lev1.211A_2017_09_06T12_03_49.51Z.image_lev1.fits,7027200,f18740a6ae6f1d58bd2330bb0e82c636,0.004899,4096,4096
2017-09-06T12:03:50.620,12_03_48,94,raw\aia.lev1.94A_2017_09_06T12_03_50.62Z.image_lev1.fits,6456960,14d02cc45c1e60e83641389bd7b463b8,0.354326,4096,4096
2017-09-06T12:03:52.840,12_03_48,193,raw\aia.lev1.193A_2017_09_06T12_03_52.84Z.image_lev1.fits,11652480,f1d0b72f0873ace1541a986056bfc298,1.999044,4096,4096
2017-09-06T12:03:54.620,12_03_48,131,raw\aia.lev1.131A_2017_09_06T12_03_54.62Z.image_lev1.fits,8962560,7a2bd8dabd6b33e30188481d91318847,2.901374,4096,4096
2017-09-06T12:03:57.350,12_03_48,171,raw\aia.lev1.171A_2017_09_06T12_03_57.35Z.image_lev1.fits,11666880,a70f7b4365b8f332ed33a594d092fb86,2.000158,4096,4096
