ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760284622.620253,1.7,17405034496,270310711296,11236200448,57162924032,6976822883328,8508557155561,1017792825765
1760284623.1231346,1.6,17399910400,270310711296,11244064768,57162924032,6976822883328,8508557155561,1017792825765
1760284623.6260018,1.8,17398865920,270310711296,11236163584,57162924032,6976822883328,8508557155913,1017792826142
1760284624.1288638,1.6,17390477312,270310711296,11244027904,57162924032,6976822883328,8508557156265,1017792826569
1760284624.6316926,1.8,17416785920,270310711296,11236134912,57162924032,6976822883328,8508557156707,1017792827272
1760284625.1345263,1.6,17416708096,270310711296,11243999232,57162924032,6976822883328,8508557156707,1017792827596
1760284625.6373796,1.6,17417023488,270310711296,11236065280,57162924032,6976822883328,8508557156707,1017792827596
1760284626.1402147,1.9,17415655424,270310711296,11243929600,57162924032,6976822883328,8508557157059,1017792828297
1760284626.6431224,1.9,17411350528,270310711296,11236032512,57162924032,6976822883328,8508557157059,1017792828297
1760284627.1461027,2.5,17426948096,270310711296,11243372544,57162924032,6976822883328,8508557158946,1017792830099
1760284627.648941,1.6,17424560128,270310711296,11235962880,57162924032,6976822883328,8508557158946,1017792830423
1760284628.1514442,2.1,17444524032,270310711296,11243302912,57162924032,6976822883328,8508557159650,1017792831177
1760284628.6539638,1.6,17441878016,270310711296,11235938304,57162924032,6976822883328,8508557160004,1017792831536
1760284629.1565099,2.4,17441898496,270310711296,11242754048,57162924032,6976822883328,8508557160708,1017792832279
1760284629.6595583,1.6,17439920128,270310711296,11235905536,57162924032,6976822883328,8508557161060,1017792832660
1760284630.1621222,1.6,17425416192,270310711296,11242721280,57162924032,6976822883328,8508557161060,1017792832660
1760284630.664963,1.9,17428602880,270310711296,11235880960,57162924032,6976822883328,8508557162219,1017792833827
1760284631.1674974,1.6,17426448384,270310711296,11242172416,57162924032,6976822883328,8508557162219,1017792833827
1760284631.6700218,1.9,17448448000,270310711296,11235827712,57162924032,6976822883328,8508557163734,1017792835682
1760284632.1725233,1.6,17442865152,270310711296,11241594880,57162924032,6976822883328,8508557164225,1017792836202
1760284632.6750267,1.9,17432272896,270310711296,11263090688,57162924032,6976822883328,8508557165651,1017792838200
1760284633.1775403,1.6,17431515136,270310711296,11241070592,57162924032,6976822883328,8508557165651,1017792838200
1760284633.6800475,1.6,17431257088,270310711296,11248410624,57162924032,6976822883328,8508557166003,1017792838963
1760284634.1825392,1.9,17421279232,270310711296,11240546304,57162924032,6976822883328,8508557167077,1017792840189
1760284634.6852458,1.6,17421279232,270310711296,11247886336,57162924032,6976822883328,8508557167077,1017792840449
1760284635.1877587,1.9,17435750400,270310711296,11240022016,57162924032,6976822883328,8508557168151,1017792841641
1760284635.6902719,1.6,17435234304,270310711296,11247362048,57162924032,6976822883328,8508557168151,1017792841641
1760284636.1927786,1.8,17443913728,270310711296,11239497728,57162924032,6976822883328,8508557170061,1017792843746
1760284636.695613,1.6,17443909632,270310711296,11246837760,57162924032,6976822883328,8508557170273,1017792843878
1760284637.19845,1.6,17452969984,270310711296,11238973440,57162924032,6976822883328,8508557171263,1017792845075
1760284637.7014353,2.8,17432702976,270310711296,11246837760,57162924032,6976822883328,8508627377221,1017793209602
1760284638.204379,5.2,17385766912,270310711296,11263090688,57162924032,6976822883328,8509008049399,1017795264674
1760284638.7072587,1.7,17369681920,270310711296,11240960000,57162924032,6976822883328,8509029540378,1017795395226
1760284639.2101092,1.6,17368719360,270310711296,11248300032,57162924032,6976822883328,8509029540378,1017795395550
1760284639.712945,1.9,17386663936,270310711296,11240435712,57162924032,6976822883328,8509029541532,1017795396658
1760284640.2157614,1.6,17376210944,270310711296,11247775744,57162924032,6976822883328,8509029541630,1017795397219
1760284640.718601,1.6,17377988608,270310711296,11239911424,57162924032,6976822883328,8509029542353,1017795397971
1760284641.2214317,1.6,17377509376,270310711296,11246727168,57162924032,6976822883328,8509029542451,1017795398069
1760284641.7242486,1.6,17383768064,270310711296,11239387136,57162924032,6976822883328,8509029542451,1017795398069
1760284642.2270722,1.6,17380052992,270310711296,11246202880,57162924032,6976822883328,8509029543754,1017795399329
1760284642.729929,1.6,17381597184,270310711296,11238862848,57162924032,6976822883328,8509029543754,1017795399329
1760284643.23275,1.6,17380356096,270310711296,11245678592,57162924032,6976822883328,8509029544872,1017795400529
1760284643.7355723,1.6,17346400256,270310711296,11238338560,57162924032,6976822883328,8509029544962,1017795400529
1760284644.2383816,1.6,17347579904,270310711296,11245154304,57162924032,6976822883328,8509029545680,1017795401603
1760284644.7412107,1.6,17365573632,270310711296,11262980096,57162924032,6976822883328,8509029545680,1017795401863
